locale,af-ZA,ar,az-AZ,bg-BG,bn-BD,bs-BA,ca,cs,da,de,el,en,es,et-EE,eu,fa-IR,fi,fr,ga-IE,gl-ES,gu-IN,he,hi-IN,hr-HR,hu,id,it,ja,ka-GE,kk-KZ,km-KH,kn-IN,ko,ky-KG,lt-LT,lv-LV,mk-MK,ml-IN,mr-IN,ms,my,nb,nl,pa-IN,pl,pt-BR,pt-PT,ro-RO,ru,sk-SK,sl-SI,sq-AL,sr,sv,sw,ta-IN,te-IN,th,tl-PH,tr,ug,uk-UA,ur,vi,yue,zh-CN,zh-HK,zh-Hant
pl,afrikaans,arabski,azerbejdżański,bułgarski,bengalski,bośniacki,kataloński,czeski,duński,niemiecki,grecki,angielski,hiszpański,estoński,baskijski,perski,fiński,francuski,irlandzki,galicyjski,gudżarati,hebrajski,hindi,chorwacki,węgierski,indonezyjski,włoski,japoński,gruziński,kazachski,khmerski,kannada,koreański,kirgiski,litewski,łotewski,macedoński,malajalam,marathi,malajski,birmański,norweski,niderlandzki,pendżabski,polski,portugalski (Brazylia),portugalski (Portugalia),rumuński,rosyjski,słowacki,słoweński,albański,serbski,szwedzki,suahili,tamilski,telugu,tajski,filipiński,turecki,ujgurski,ukraiński,urdu,wietnamski,kantoński,chiński (Chiny),chiński (Hongkong),chiński tradycyjny
pt-BR,africâner ,árabe,azerbaijano ,búlgaro ,bengali ,bósnio ,catalão,tcheco,dinamarquês,alemão,grego,inglês,espanhol,estoniano ,basco,persa ,finlandês,francês,irlandês,galego,guzerate,hebraico,híndi,croata,húngaro,indonésio,italiano,japonês,georgiano,cazaque,khmer,canarim,coreano,quirguiz,lituano,letão,macedônio,malaiala,marati,malaio,birmanês,bokmål norueguês,holandês,panjabi,polonês,português (Brasil),português (Portugal),romeno,russo,eslovaco,esloveno,albanês,sérvio,sueco,suaíli,tâmil,télugo,tailandês,filipino,turco,uigur,ucraniano,urdu,vietnamita,cantonês,chinês (China),chinês (Hong Kong),chinês tradicional
pt-PT,africanês,árabe,azerbaijano ,búlgaro ,bengalês ,bósnio ,catalão,checo,dinamarquês,alemão,grego,inglês,espanhol,estónio ,basco,persa ,finlandês,francês,irlandês,galego,guzerate,hebraico,hindi,croata,húngaro,indonésio,italiano,japonês,georgiano,cazaque,khmer,canarim,coreano,quirguiz,lituano,letão,macedónio,malaiala,marata,malaio,birmanês,norueguês bokmål,neerlandês,panjabi,polaco,português do Brasil,português europeu,romeno,russo,eslovaco,esloveno,albanês,sérvio,sueco,suaíli,tâmil,telugu,tailandês,filipino,turco,uigur,ucraniano,urdu,vietnamita,cantonês,chinês (China),chinês (Hong Kong),chinês tradicional
ro-RO,afrikaans ,arabă,azeră ,bulgară ,bengaleză ,bosniacă ,catalană,cehă,daneză,germană,greacă,engleză,spaniolă,estonă ,bască,persană ,finlandeză,franceză,irlandeză ,galiciană ,gujarati ,ebraică,hindi ,croată ,maghiară,indoneziană,italiană,japoneză,georgiană,kazahă ,khmeră ,kannada ,coreeană,kârgâză ,lituaniană ,letonă,macedoneană ,malayalam ,marathi ,malaeză,birmană,norvegiană bokmål,neerlandeză,punjabi ,poloneză,portugheză (Brazilia),portugheză (Europa),română ,rusă,slovacă ,slovenă ,albaneză ,sârbă,suedeză,swahili,tamilă ,telugu ,thailandeză,filipineză ,turcă,uigură,ucraineană ,urdu,vietnameză,cantoneză,chineză (China),chineză (Hong Kong),chineză tradițională
ru,Африкаанс ,Арабский,Азербайджанский,Болгарский,Бенгальский,Боснийский,Каталанский,Чешский,Датский,Немецкий,Греческий,Английский,Испанский,Эстонский,Баскский,Персидский,Финский,Французский,Ирландский,Галисийский,Гуджарати,Иврит,Хинди,Хорватский,Венгерский,Индонезийский,Итальянский,Японский,Грузинский,Казахский,Кхмерский,Каннада,Корейский,Киргизский,Литовский,Латышский,Македонский,Малаялам,Маратхи,Малайский,Бирманский,Норвежский букмол,Нидерландский,Панджаби,Польский,Бразильский португальский,Европейский португальский,Румынский,Русский,Словацкий,Словенский,Албанский,Сербский,Шведский,Суахили,Тамильский,Телугу,Тайский,Филиппинский,Турецкий,Уйгурский,Украинский,Урду,Вьетнамский,Кантонский,Китайский (Китай),Китайский (Гонконг),Китайский (традиционное письмо)
sk-SK,Afrikánčina,Arabčina,Azerbajdžančina,Bulharčina,Bengálčina,Bosniačtina,Katalánčina,Čeština,Dánčina,Nemčina,Gréčtina,Angličtina,Španielčina,Estónčina,Baskičtina,Perzština,Fínčina,Francúzština,Írčina,Galícijčina,Gudžarátčina,Hebrejčina,Hindčina,Chorvátčina,Maďarčina,Indonézština,Taliančina,Japončina,Gruzínčina,Kazaština,Khmérčina,Kannadčina,Kórejčina,Kirgizština,Litovčina,Lotyština,Macedónčina,Malajálamčina,Maráthčina,Malajčina,Barmčina,Nórčina,Holandčina,Pandžábčina,Poľština,Portugalčina (brazílska),Portugalčina (európska),Rumunčina,Ruština,Slovenčina,Slovinčina,Albánčina,Srbčina,Švédčina,Swahilčina,Tamilčina,Telugčina,Thajčina,Filipínčina,Turečtina,Ujgurčina,Ukrajinčina,Urdčina,Vietnamčina,Kantončina,Čínština (Čína),Čínština (Hongkong),Čínština (tradičná)
sl-SI,Afrikanščina,Arabščina,Azerbajdžanščina ,Bolgarščina ,Bengalščina,Bosanščina,Katalonščina,Češčina,Danščina,Nemščina,Grščina,Angleščina,Španščina,Estonščina,Baskovščina,Perzijščina,Finščina,Francoščina,Irščina,Galicijščina,Gudžaratščina,Hebrejščina,Hindijščina,Hrvaščina,Madžarščina,Indonezijščina,Italijanščina,Japonščina,Gruzijščina,Kazaščina,Kmerščina,Kanareščina,Korejščina,Kirgiščina ,Litovščina,Latvijščina,Makedonščina,Malajalamščina,Maratščina,Malajščina,Burmanščina,Knjižna norveščina,Nizozemščina,Pandžabščina,Poljščina,Brazilska portugalščina,Evropska portugalščina,Romunščina,Ruščina,Slovaščina,Slovenščina,Albanščina,Srbščina,Švedščina,Svahili,Tamilščina,Telugijščina,Tajščina,Filipinščina,Turščina,Ujgurščina,Ukrajinščina,Urdujščina,Vietnamščina,Kantonščina,Kitajščina (Kitajska),Kitajščina (Hongkong),Tradicionalna kitajščina
sq-AL,Afrikançe,Arabisht,Azerbajxhanisht,Bullgarisht,Bengalisht,Boshnjakisht,Katalanisht,Çekisht,Danisht,Gjermanisht,Greqisht,Anglisht,Spanisht,Estonisht,Baskisht,Persisht,Finlandisht,Frengjisht,Irlandisht,Galicisht,Guxharatisht,Hebraisht,Hindustanisht,Kroatisht,Hungarisht,Indonezisht,Italisht,Japonisht,Gjeorgjisht,Kazakisht,Kmerisht,Kanadisht,Koreançe,Kirgizisht,Lituanisht,Letonisht,Maqedonisht,Malajalamisht,Maratisht,Malajzisht,Birmanisht,Norvegjeze Bokmål,Holandisht,Panxhabe,Polonisht,Portugalisht brazilian,Portugalisht europian,Rumanisht,Rusisht,Sllovakisht,Sllovenisht,Shqip,Serbisht,Suedisht,Suahile,Tamil,Telegu,Tajlandisht,Filipinisht,Turqisht,Ujgurisht,Ukrainisht,Urdu,Vietnamisht,Kantonezisht,Kinezçe (Kina),Kinezçe (Hong Kong),Kinezçe tradicionale
sr,Африканс,Арапски,Азербејџански,Бугарски,Бенгалски,Босански,Каталонски,Чешки,Дански,Немачки,Грчки,Енглески,Шпански,Естонски,Баскијски,Персијски,Фински,Француски,Ирски,Галицијски,Гуџарати,Хебрејски,Хинди,Хрватски,Мађарски,Индонежански,Италијански,Јапански,Грузијски,Казашки,Кмерски,Канада,Корејски,Киргиски,Литвански,Летонски,Македонски,Малајалам,Марати,Малајски,Бурмански,Норвешки букмол,Холандски,Пенџапски,Пољски,Португалски (Бразил),Португалски (Португал),Румунски,Руски,Словачки,Словеначки,Албански,Српски,Шведски,Свахили,Тамилски,Телугу,Тајски,Филипински,Турски,Ујгурски,Украјински,Урду,Вијетнамски,Кантонски,Кинески (Кина),Кинески (Хонг Конг),Традиционални кинески
sv,Afrikaans,Arabiska,Azerbajdzjanska,Bulgariska,Bengali,Bosniska,Katalanska,Tjeckiska,Danska,Tyska,Grekiska,Engelska,Spanska,Estniska,Baskiska,Persiska,Finska,Franska,Iriska,Galiciska,Gujarati,Hebreiska,Hindi,Kroatiska,Ungerska,Indonesiska,Italienska,Japanska,Georgiska,Kazakiska,Kambodjanska,Kannada,Koreanska,Kirgiziska,Litauiska,Lettiska,Makedonska,Malayalam,Marathi,Malajiska,Burmesiska,Norskt bokmål,Nederländska,Punjabi,Polska,Brasiliansk portugisiska,Europeisk portugisiska,Rumänska,Ryska,Slovakiska,Slovenska,Albanska,Serbiska,Svenska,Swahili,Tamil,Telugu,Thailändska,Filippinska,Turkiska,Uiguriska,Ukrainska,Urdu,Vietnamesiska,Kantonesiska,Kinesiska (Kina),Kinesiska (Hongkong),Traditionell kinesiska
sw,Kiafrikana ,Kiarabu,Kiazerbaijani ,Kibulgaria,Kibengali,Kibosnia ,Kikatalani,Kicheki,Kidenmaki,Kijerumani,Kigiriki,Kiingereza,Kihispania,Kiestonia ,Kibaski,Kiajemi ,Kifini,Kifaransa,Kiayalandi ,Kigalisi ,Kigujarati ,Kiebrania,Kihindi ,Kikroasia ,Kihungaria,Kiindonesia,Kiitaliano,Kijapani,Kijojia ,Kikazakh ,Kikambodia,Kikannada ,Kikorea,Kikyrgyz ,Kilithuania ,Kilatvia ,Kimacedonia ,Kimalayalamu ,Kimarathi ,Kimalei,Kiburma,Kinorwe cha Bokmal,Kiholanzi,Kipunjabi ,Kipolandi,Kireno (Brazili),Kireno (Ulaya),Kiromania ,Kirusi,Kislovakia ,Kislovenia ,Kialbania ,Kiserbia,Kiswidi,Kiswahili,Kitamili ,Kitelugu ,Kithai,Kifilipino,Kituruki,Kiuyghur,Kiukraini,Kiurdu,Kivietinamu,Kikantoni,Kichina (Uchina),Kichina (Hong Kong),Kichina cha Jadi
ta-IN,ஆஃப்ரிகான்ஸ் ,அரபிக்,அசர்பைஜானி,பல்கேரியன் ,வங்காளம் ,போஸ்னியன் ,கேட்டலான்,செக்,டேனிஷ்,ஜெர்மன்,கிரேக்கம்,ஆங்கிலம்,ஸ்பானிஷ்,எஸ்டோனியன் ,பாஸ்க்,பெர்ஷியன் ,ஃபின்னிஷ்,பிரெஞ்சு,ஐரிஷ்,காலிஸியன்,குஜராத்தி,ஹீப்ரூ,இந்தி,குரோஷியன்,ஹங்கேரியன்,இந்தோனேஷியன்,இத்தாலியன்,ஜப்பானியம்,ஜார்ஜியன்,கசாக்,கெமெர்,கன்னடம்,கொரியன்,கிர்கிஸ்,லிதுவேனியன்,லாட்வியன்,மாஸிடோனியன்,மலையாளம்,மராத்தி,மலாய்,பர்மீஸ்,நார்வேஜியன் பொக்மால்,டச்சு,பஞ்சாபி,போலிஷ்,பிரேசிலிய போர்ச்சுகீஸ்,ஐரோப்பிய போர்ச்சுகீஸ்,ரோமேனியன்,ரஷியன்,ஸ்லோவாக்,ஸ்லோவேனியன்,அல்பேனியன்,செர்பியன்,ஸ்வீடிஷ்,ஸ்வாஹிலி,தமிழ்,தெலுங்கு,தாய்,ஃபிலிபினோ,துருக்கிஷ்,உய்குர்,உக்ரைனியன்,உருது,வியட்நாமீஸ்,காண்டோனீஸ்,சீனம் (சீனா),சீனம் (ஹாங்காங்),பாரம்பரிய சீனம்
te-IN,ఆఫ్రికాన్స్ ,అరబిక్,అజర్బైజాని ,బల్గేరియన్ ,బంగ్లా ,బోస్నియన్ ,కాటలాన్,చెక్,డానిష్,జర్మన్,గ్రీక్,ఇంగ్లీష్,స్పానిష్,ఎస్టోనియన్ ,బాస్క్యూ,పర్షియన్ ,ఫిన్నిష్,ఫ్రెంచ్,ఐరిష్,గాలిషియన్,గుజరాతి,హిబ్రూ,హిందీ,క్రొయేషియన్,హంగేరియన్,ఇండోనేషియన్,ఇటాలియన్,జపనీస్,జార్జియన్,కజఖ్,ఖ్మేర్,కన్నడ,కొరియన్,కిర్గిజ్,లిథువేనియన్,లాట్వియన్ ,మాసిడోనియన్,మలయాళం,మరాఠీ,మలయ్,బర్మీస్,నార్వేజియన్ బొక్మాల్,డచ్,పంజాబీ,పోలిష్,బ్రెజీలియన్ పోర్చుగీస్,యూరోపియన్ పోర్చుగీస్,రోమేనియన్,రష్యన్,స్లోవక్,స్లోవేనియన్,అల్బేనియన్,సెర్బియన్,స్వీడిష్,స్వాహిలి,తమిళము,తెలుగు,థాయ్,ఫిలిపినో,టర్కిష్,ఉయ్‌ఘర్,ఉక్రెయినియన్,ఉర్దూ,వియత్నామీస్,కాంటనీస్,చైనీస్ (చైనా),చైనీస్ (హాంకాంగ్),సాంప్రదాయక చైనీస్
th,แอฟริกานส์,อาหรับ,อาเซอร์ไบจาน,บัลแกเรีย,เบงกาลี,บอสเนีย,คาตาลัน,เช็ก,เดนมาร์ก,เยอรมัน,กรีก,อังกฤษ,สเปน,เอสโตเนีย,บาสก์,เปอร์เซีย,ฟินแลนด์,ฝรั่งเศส,ไอริช,กาลิเซีย,คุชราต,ฮีบรู,ฮินดี,โครเอเชีย,ฮังการี,อินโดนีเซีย,อิตาลี,ญี่ปุ่น,จอร์เจีย,คาซัค,เขมร,กันนาดา,เกาหลี,คีร์กีซ,ลิทัวเนีย,ลัตเวีย,มาซิโดเนีย,มาลายาลัม,มราฐี,มาเลย์,พม่า,นอร์เวย์บุคมอล,ดัตช์,ปัญจาบ,โปแลนด์,โปรตุเกส (บราซิล),โปรตุเกส (ยุโรป),โรมาเนีย,รัสเซีย,สโลวัก,สโลวีเนีย,แอลเบเนีย,เซอร์เบีย,สวีเดน,สวาฮีลี,ทมิฬ,เตลูกู,ไทย,ฟิลิปปินส์,ตุรกี,อุยกูร์,ยูเครน,อูรดู,เวียดนาม,กวางตุ้ง,จีน (จีน),จีน (ฮ่องกง),จีนตัวเต็ม
tl-PH,Afrikaans,Arabic,Azerbaijani,Bulgarian,Bangla,Bosnian,Catalan,Czech,Danish,German,Greek,English,Spanish,Estonian,Basque,Persian,Finnish,French,Irish,Galician,Gujarati,Hebrew,Hindi,Croatian,Hungarian,Indonesian,Italian,Japanese,Georgian,Kazakh,Khmer,Kannada,Korean,Kirghiz,Lithuanian,Latvian,Macedonian,Malayalam,Marathi,Malay,Burmese,Norwegian Bokmål,Dutch,Punjabi,Polish,Portuguese (Brazil),Portuguese (Portugal),Romanian,Russian,Slovak,Slovenian,Albanian,Serbian,Swedish,Swahili,Tamil,Telugu,Thai,Filipino,Turkish,Uyghur,Ukranian,Urdu,Vietnamese,Cantonese,Chinese (China),Chinese (Hong Kong),Traditional Chinese
tr,Afrikanca ,Arapça,Azerice ,Bulgarca ,Bengalce ,Boşnakça ,Katalanca,Çekçe,Danca,Almanca,Yunanca,İngilizce,İspanyolca,Estonca ,Baskça,Farsça ,Fince,Fransızca,İrlandaca,Galiçyaca ,Gücaratça,İbranice,Hintçe,Hırvatça,Macarca,Endonezce,İtalyanca,Japonca,Gürcüce,Kazakça,Khmer,Kannada,Korece,Kırgızca,Litvanca,Letonca,Makedonca,Malayalam,Marati,Malayca,Birmanca,Norveççe Bokmål,Felemenkçe,Pencapça,Lehçe,Brezilya Portekizcesi,Avrupa Portekizcesi,Romence,Rusça,Slovakça,Slovence,Arnavutça,Sırpça,İsveççe,Svahili,Tamilce,Telugu,Tayca,Filipince,Türkçe,Uygurca,Ukraynaca,Urduca,Vietnamca,Kantonca,Çince (Çin),Çince (Hong Kong),Geleneksel Çince
ug,ئافرىقىچە ,ئەرەبچە,ئەزاربەيجانچە ,بۇلغارچە ,بېنگالىچە ,بوسنىيەچە ,كاتالانچە,چېىخچە,دانىيەچە,گېرمانچە,گېرىكچە,ئېنگلىزچە,ئىسپانچە,ئېستونچە ,باشقەچە,پارسچە ,فىنچە,فرانسۇزچە,ئېرلاندىچە,گالىسىيەنچە ,گۇجارېتچە ,ئىبرانىچە,ھىندىچە ,كىرودىيەچە ,ۋىنگىرچە ,ھىندىنوزىيەچە,ئىتالىيانچە,ياپونچە,گىرۇزىنچە ,قازاقچە ,كمېرچە ,كانناداچە ,كورېيانچە (كورېيە),قىرغىزچە,لىتۋاچە ,لاتۋىيەچە ,ماكېدونىيەچە ,مالايالامچە,ماراتىچە ,مالايچە,بىرمىچە,نورۋىگىيە بوكمالچە,گوللاندىيەچە,پانجاپچە ,پولەكچە,بىرازىلىيە پورتۇگالچە,ياۋروپا پورتۇگالچە,رومانىيەنچە,رۇسچە,سلوۋاكچە,سىلوۋېنىيەچە ,ئالبانچە ,سېربچە (سېربىيە),شۋېدچە (شۋېتسىيە),سۋاخىلىچە,تامىلچە,تېلۇگۇچە ,تايلاندچە,فىلىپىنچە ,تۈركچە,ئۇيغۇرچە,ئۇكرائىناچە,ئوردۇچە,ۋېيتنامچە,گۇاڭدوڭ دىئالىكىتى,خەنزۇچە (جۇڭگو),خەنزۇچە (شىياڭگاڭ),ئەنئەنۋىي خەنزۇچە
uk-UA,Африкаанс ,Арабська,Азербайджанська,Болгарська,Бенгальська,Боснійська,Каталонська,Чеська,Данська,Німецька,Грецька,Англійська,Іспанська,Естонська,Баскська,Перська,Фінська,Французька,Ірландська,Галісійська,Гуджараті,Іврит,Гінді,Хорватська,Угорська,Індонезійська,Італійська,Японська,Грузинська,Казахська,Кхмерська,Каннада,Корейська,Киргизька,Литовська,Латиська,Македонська,Малаялам,Маратхі,Малайська,Бірманська,Норвезька,Нідерландська,Панджабі,Польська,Бразильська португальська,Європейська португальська,Румунська,Російська,Словацька,Словенська,Албанська,Сербська,Шведська,Суахілі,Тамільська,Телугу,Тайська,Філіппінська,Турецька,Уйгурська,Українська,Урду,Вʼєтнамська,Кантонська,Китайська (Китай),Китайська (Гонконг),Китайська (традиційне письмо)
ur,افریکانز,عربی,آذربائیجانی ,بلغاری,بنگلہ ,بوسنیائی,کاتالونیائی ,چیک,ڈینش,جرمن,یونانی,انگریزی,ہسپانوی,اسٹونین,باسکی,فارسی,فینش,فرانسیسی,آئرش,گالیشیائی ,گجراتی,عبرانی,ہندی ,کرویئشین,ہنگیرین,انڈونیشیائی,اطالوی,جاپانی,جارجیائی,قازق,خمیر,کنّاڈا ,کوریائی,کرغیزی,لیتھوینین ,لیٹوین ,مقدونیائی,ملیالم,مراٹهی,مالے,برمی,نارویجین بوکمل,ڈچ,پنجابی,پولش,برازیلی پرتگالی,یورپی پرتگالی,رومانین,روسی,سلوواک,سلووینیائی,البانی ,سربین,سویڈش,سواحلی,تمل,تیلگو,تھائی,فلیپینو,ترکی,اویغور,یوکرینیائی,اردو,ویتنامی,کینٹنی,چینی (چین),چینی (ہانگ کانگ),روایتی چینی
vi,Tiếng Afrikaans,Tiếng Ả Rập,Tiếng Azerbaijan,Tiếng Bulgaria,Tiếng Bangla,Tiếng Bosnia,Tiếng Catalan,Tiếng Séc,Tiếng Đan Mạch,Tiếng Đức,Tiếng Hy Lạp,Tiếng Anh,Tiếng Tây Ban Nha,Tiếng Estonia,Tiếng Basque,Tiếng Ba Tư,Tiếng Phần Lan,Tiếng Pháp,Tiếng Ireland,Tiếng Galicia,Tiếng Gujarat,Tiếng Do Thái,Tiếng Hindi,Tiếng Croatia,Tiếng Hungary,Tiếng Indonesia,Tiếng Italy,Tiếng Nhật,Tiếng Georgia,Tiếng Kazakh,Tiếng Khmer,Tiếng Kannada,Tiếng Hàn,Tiếng Kyrgyz,Tiếng Litva,Tiếng Latvia,Tiếng Macedonia,Tiếng Malayalam,Tiếng Marathi,Tiếng Mã Lai,Tiếng Miến Điện,Tiếng Na Uy,Tiếng Hà Lan,Tiếng Punjab,Tiếng Ba Lan,Tiếng Bồ Đào Nha (Brazil),Tiếng Bồ Đào Nha (Bồ Đào Nha),Tiếng Romania,Tiếng Nga,Tiếng Slovak,Tiếng Slovenia,Tiếng Albania,Tiếng Serbia,Tiếng Thụy Điển,Tiếng Swahili,Tiếng Tamil,Tiếng Telugu,Tiếng Thái,Tiếng Philippines,Tiếng Thổ Nhĩ Kỳ,Tiếng Duy Ngô Nhĩ,Tiếng Ukraina,Tiếng Urdu,Tiếng Việt,Tiếng Quảng Đông,Tiếng Trung (Trung Quốc),Tiếng Trung (Hồng Kông),Tiếng Trung Phồn Thể
yue,南非荷蘭文,阿拉伯文,阿塞拜疆文,保加利亞文,孟加拉文,波斯尼亞文,加泰隆尼亞文,捷克文,丹麥文,德文,希臘文,英文,西班牙文,愛沙尼亞文,巴斯克文,波斯文,芬蘭文,法文,愛爾蘭文,加利西亞文,古吉拉特文,希伯來文,印地文,克羅地亞文,匈牙利文,印尼文,意大利文,日文,格魯吉亞文,哈薩克文,高棉文,坎納達文,韓文,吉爾吉斯文,立陶宛文,拉脫維亞文,馬其頓文,馬拉雅拉姆文,馬拉地文,馬來文,緬甸文,巴克摩挪威文,荷蘭文,旁遮普文,波蘭文,巴西葡萄牙文,歐洲葡萄牙文,羅馬尼亞文,俄文,斯洛伐克文,斯洛文尼亞文,阿爾巴尼亞文,塞爾維亞文,瑞典文,史瓦希利文,泰米爾文,泰盧固文,泰文,菲律賓文,土耳其文,維吾爾文,烏克蘭文,烏爾都文,越南文,廣東話,中文（中國）,中文（香港）,繁體中文
zh-CN,南非荷兰语,阿拉伯语,阿塞拜疆语,保加利亚语,孟加拉语,波斯尼亚语,加泰罗尼亚语,捷克语,丹麦语,德语,希腊语,英语,西班牙语,爱沙尼亚语,巴斯克语,波斯语,芬兰语,法语,爱尔兰语,加利西亚语,古吉拉特语,希伯来语,印地语,克罗地亚语,匈牙利语,印度尼西亚语,意大利语,日语,格鲁吉亚语,哈萨克语,高棉语,卡纳达语,韩语,柯尔克孜语,立陶宛语,拉脱维亚语,马其顿语,马拉雅拉姆语,马拉地语,马来语,缅甸语,巴克摩挪威语,荷兰语,旁遮普语,波兰语,巴西葡萄牙语,欧洲葡萄牙语,罗马尼亚语,俄语,斯洛伐克语,斯洛文尼亚语,阿尔巴尼亚语,塞尔维亚语,瑞典语,斯瓦希里语,泰米尔语,泰卢固语,泰语,菲律宾语,土耳其语,维吾尔语,乌克兰语,乌尔都语,越南语,粤语,中文（中国）,中文（香港）,繁体中文
zh-HK,南非荷蘭文,阿拉伯文,阿塞拜疆文,保加利亞文,孟加拉文,波斯尼亞文,加泰隆尼亞文,捷克文,丹麥文,德文,希臘文,英文,西班牙文,愛沙尼亞文,巴斯克文,波斯文,芬蘭文,法文,愛爾蘭文,加利西亞文,古吉拉特文,希伯來文,印地文,克羅地亞文,匈牙利文,印尼文,意大利文,日文,格魯吉亞文,哈薩克文,高棉文,坎納達文,韓文,吉爾吉斯文,立陶宛文,拉脫維亞文,馬其頓文,馬拉雅拉姆文,馬拉地文,馬來文,緬甸文,巴克摩挪威文,荷蘭文,旁遮普文,波蘭文,巴西葡萄牙文,歐洲葡萄牙文,羅馬尼亞文,俄文,斯洛伐克文,斯洛文尼亞文,阿爾巴尼亞文,塞爾維亞文,瑞典文,史瓦希利文,泰米爾文,泰盧固文,泰文,菲律賓文,土耳其文,維吾爾文,烏克蘭文,烏爾都文,越南文,廣東話,中文（中國）,中文（香港）,繁體中文
zh-Hant,南非荷蘭文,阿拉伯文,亞塞拜然文,保加利亞文,孟加拉文,波士尼亞文,加泰蘭文,捷克文,丹麥文,德文,希臘文,英文,西班牙文,愛沙尼亞文,巴斯克文,波斯文,芬蘭文,法文,愛爾蘭文,加利西亞文,古吉拉特文,希伯來文,印地文,克羅埃西亞文,匈牙利文,印尼文,義大利文,日文,喬治亞文,哈薩克文,高棉文,坎那達文,韓文,吉爾吉斯文,立陶宛文,拉脫維亞文,馬其頓文,馬來亞拉姆文,馬拉地文,馬來文,緬甸文,巴克摩挪威文,荷蘭文,旁遮普文,波蘭文,葡萄牙文（巴西）,葡萄牙文（葡萄牙）,羅馬尼亞文,俄文,斯洛伐克文,斯洛維尼亞文,阿爾巴尼亞文,塞爾維亞文,瑞典文,史瓦希利文,坦米爾文,泰盧固文,泰文,菲律賓文,土耳其文,維吾爾文,烏克蘭文,烏都文,越南文,粵語,中文（中國）,中文（香港）,繁體中文
